Jednoznačná varianta vozu,Značka,Model,Verze,Generace,Karoserie,Počet míst,Objem motoru,Typ motoru,Palivo,Hybrid typ,Spotřeba (l/100 km),Objem kufru (l),Hlučnost (dB),Cd,Cd zdroj,Přidáno,Upraveno
Kia ProCeed 1.5 T-GDI,Kia,ProCeed,,,Shooting Brake,,1.5,T-GDI,Benzín,,"5,7",594,69,0.3,reálné,2026-06-28,2026-07-11
Kia XCeed 1.5 T-GDI,Kia,XCeed,,,SUV,,1.5,T-GDI,Benzín,,"6,0",426,69,0.33,reálné,2026-06-28,2026-07-11
Kia XCeed 1.6 GDI PHEV,Kia,XCeed,,,SUV,,1.6,GDI,Benzín,PHEV,"1,4",291,68,0.33,reálné,2026-05-24,2026-07-11
Kia K4 2.0 MPI,Kia,K4,,,Sedan,,2.0,,Benzín,,"6,5",470,68,0.27,odhad,2026-06-28,2026-07-11
Kia Niro 1.6 GDI HEV,Kia,Niro,,,SUV,,1.6,GDI,Benzín,HEV,"4,4",451,67,0.29,reálné,2026-05-24,2026-07-11
Kia Sportage 1.6 T-GDI MHEV,Kia,Sportage,,,SUV,,1.6,T-GDI,Benzín,MHEV,"6,4",562,69,0.33,reálné,2026-05-24,2026-07-11
Kia Sportage 1.6 T-GDI PHEV,Kia,Sportage,,,SUV,,1.6,T-GDI,Benzín,PHEV,"1,1",540,68,0.33,reálné,2026-05-24,2026-07-11
Kia Stinger 3.3 T-GDI AWD,Kia,Stinger,,,Liftback,,3.3,T-GDI,Benzín,,"10,5",406,73,0.3,reálné,2026-06-28,2026-07-11
Land Rover Discovery Sport D165 MHEV,Land Rover,Discovery,,,SUV,,2,,Benzín,MHEV,"6,4",780,70,0.33,reálné,2026-05-24,2026-07-11
Land Rover Discovery Sport P300e PHEV,Land Rover,Discovery,,,SUV,,1.5,,Benzín,PHEV,"1,6",541,68,0.33,reálné,2026-05-24,2026-07-11
Mazda 3 Hatchback 2.0 e-Skyactiv G,Mazda,3,,,Hatchback,,2.0,,Benzín,,"5,5",351,68,0.3,reálné,2026-05-24,2026-07-11
Mazda 3 Sedan 2.0 e-Skyactiv X,Mazda,3,,,Sedan,,2.0,,Benzín,,"5,0",450,67,0.28,reálné,2026-05-24,2026-07-11
Mazda 6 Sedan 2.0 Skyactiv-G,Mazda,6,,,Sedan,,2.0,SKYACTIV-G,Benzín,,"6,2",480,68,0.27,reálné,2026-05-24,2026-07-11
Mazda 6 Wagon 2.5 Skyactiv-G,Mazda,6,,,Kombi,,2.5,SKYACTIV-G,Benzín,,"7,0",522,69,0.28,reálné,2026-06-28,2026-07-11
Mazda CX-30 2.0 e-Skyactiv G,Mazda,CX-30,,,SUV,,2.0,,Benzín,,"5,9",430,68,0.33,odhad,2026-05-24,2026-07-11
Mazda CX-5 2.0 Skyactiv-G,Mazda,CX-5,,,SUV,,2.0,SKYACTIV-G,Benzín,,"6,8",506,69,0.33,reálné,2026-06-28,2026-07-11
Mercedes-Benz CLA Coupé 180,Mercedes-Benz,CLA,,,Kupé,,1.3,,Benzín,,"5,9",460,68,0.23,reálné,2026-05-24,2026-07-11
Mercedes-Benz CLA Shooting Brake 200,Mercedes-Benz,CLA,,,Shooting Brake,,1.3,,Benzín,,"6,1",505,69,0.26,reálné,2026-05-24,2026-07-11
Mercedes-Benz GLB 200 5míst,Mercedes-Benz,GLB,,,SUV,5,1.3,,Benzín,,"6,9",570,69,0.33,odhad,2026-06-28,2026-07-11
Mercedes-Benz GLB 200 7míst,Mercedes-Benz,GLB,,,SUV,7,1.3,,Benzín,,"6,9",500,69,0.33,odhad,2026-06-28,2026-07-11
Mercedes-Benz Třídy A Hatchback 180,Mercedes-Benz,Třídy A,,,Hatchback,,1.3,,Benzín,,"5,8",355,68,0.25,reálné,2026-05-24,2026-07-11
Mercedes-Benz Třídy A Sedan 180,Mercedes-Benz,Třídy A,,,Sedan,,1.3,,Benzín,,"5,5",405,67,0.22,reálné,2026-05-24,2026-07-11
Mercedes-Benz Třídy B 180,Mercedes-Benz,Třídy B,,,MPV,,1.3,,Benzín,,"6,0",455,68,0.24,reálné,2026-06-28,2026-07-11
MG HS 1.5 T-GDI,MG,HS,,,SUV,,1.5,T-GDI,Benzín,,"7,6",507,70,0.33,odhad,2026-06-28,2026-07-11
MG EHS Plug-In Hybrid,MG,EHS,,,SUV,,1.5,,Benzín,PHEV,"1,8",448,68,0.33,odhad,2026-05-24,2026-07-11
MG ZS 1.5 VTi-tech,MG,ZS,,,SUV,,1.5,,Benzín,,"6,6",448,70,0.33,odhad,2026-06-28,2026-07-11
Mini Clubman Cooper,Mini,Clubman Cooper,,,Kombi,,1.5,,Benzín,,"5,9",360,69,0.32,reálné,2026-05-24,2026-07-11
Mini Cooper 3D Hatchback,Mini,Cooper 3D,,,Hatchback,,1.5,,Benzín,,"5,6",211,68,0.29,reálné,2026-06-28,2026-07-11
Mini Countryman Cooper,Mini,Countryman Cooper,,,SUV,,1.5,,Benzín,,"6,2",505,69,0.32,reálné,2026-06-28,2026-07-11
Mitsubishi ASX 1.0 TSI,Mitsubishi,ASX,,,SUV,,1.0,TSI,Benzín,,"5,8",422,68,0.33,odhad,2026-06-28,2026-07-11
Mitsubishi ASX 1.6 MIVEC,Mitsubishi,ASX,,,SUV,,1.6,MIVEC,Benzín,,"7,0",419,70,0.33,odhad,2026-06-28,2026-07-11
Mitsubishi Eclipse Cross PHEV,Mitsubishi,Eclipse Cross,,,SUV,,2.4,,Benzín,PHEV,"2,0",359,68,0.33,odhad,2026-05-24,2026-07-11
Nissan Juke 1.0 DIG-T,Nissan,Juke,,,SUV,,1.0,,Benzín,,"5,9",422,69,0.35,reálné,2026-06-28,2026-07-11
Nissan Juke 1.6 Hybrid,Nissan,Juke,,,SUV,,1.6,,Benzín,HEV,"5,0",354,68,0.35,reálné,2026-05-24,2026-07-11
Nissan Qashqai 1.3 DIG-T MHEV,Nissan,Qashqai,,,SUV,,1.3,,Benzín,MHEV,"6,3",504,69,0.316,reálné,2026-05-24,2026-07-11
Nissan Qashqai 1.5 e-Power,Nissan,Qashqai,,,SUV,,1.5,,Benzín,HEV,"5,3",479,67,0.316,reálné,2026-06-28,2026-07-11
Nissan X-Trail 1.5 VC-T 5míst,Nissan,X-Trail,,,SUV,5,1.5,,Benzín,,"5,8",585,68,0.33,odhad,2026-06-28,2026-07-11
Nissan X-Trail 1.5 VC-T 7míst,Nissan,X-Trail,,,SUV,7,1.5,,Benzín,,"6,2",485,68,0.33,odhad,2026-06-28,2026-07-11
Omoda 5 1.6 T-GDI,Omoda,5,,,SUV,,1.6,T-GDI,Benzín,,"7,5",378,69,0.33,odhad,2026-05-24,2026-07-11
Opel Astra Hatchback 1.2 Turbo,Opel,Astra,,,Hatchback,,1.2,Turbo,Benzín,,"5,4",422,68,0.26,reálné,2026-05-24,2026-07-11
Opel Astra Sports Tourer 1.2 Turbo,Opel,Astra,,,Kombi,,1.2,Turbo,Benzín,,"5,6",597,69,0.25,reálné,2026-06-28,2026-07-11
Opel Frontera Hybrid,Opel,Frontera,,,SUV,,1.2,,Benzín,HEV,"5,5",460,69,0.33,odhad,2026-06-28,2026-07-11
Opel Grandland X 1.2 Turbo,Opel,Grandland,,,SUV,,1.2,Turbo,Benzín,,"6,5",514,69,0.31,reálné,2026-05-24,2026-07-11
Opel Insignia Grand Sport 2.0 CDTI,Opel,Insignia,,,Grand Sport,,2.0,CDTi,Nafta,,"5,2",490,68,0.26,reálné,2026-05-24,2026-07-11
Opel Insignia Sports Tourer 2.0 CDTI,Opel,Insignia,,,Kombi,,2.0,CDTi,Nafta,,"5,5",560,69,0.28,reálné,2026-05-24,2026-07-11
GWM Haval Jolion Pro Hybrid 1.5,GWM Haval,Jolion Pro,,,SUV,,1.5,,Benzín,HEV,"6,0",255,70,0.33,odhad,2026-05-24,2026-07-11
GWM Haval H6 1.5T,GWM Haval,H6,,,SUV,,1.5,,Benzín,,"9,1",510,71,0.33,odhad,2026-05-24,2026-07-11
Peugeot 2008 1.2 PureTech,Peugeot,2008,,,SUV,,1.2,PureTech,Benzín,,"5,4",434,69,0.33,odhad,2026-05-24,2026-07-11
Peugeot 308 Hatchback 1.2 PureTech,Peugeot,308,,,Hatchback,,1.2,PureTech,Benzín,,"5,5",412,68,0.28,reálné,2026-05-24,2026-07-11
Peugeot 308 SW 1.2 PureTech,Peugeot,308,,,Kombi,,1.2,PureTech,Benzín,,"5,7",608,69,0.277,reálné,2026-06-28,2026-07-11
Peugeot 5008 1.2 PureTech MHEV,Peugeot,5008,,,SUV,,1.2,PureTech,Benzín,MHEV,"5,8",748,69,0.33,odhad,2026-05-24,2026-07-11
Peugeot 508 Fastback 1.2 PureTech,Peugeot,508,,,Fastback,,1.2,PureTech,Benzín,,"5,9",487,68,0.26,reálné,2026-05-24,2026-07-11
Peugeot 508 SW 1.5 BlueHDi,Peugeot,508,,,Kombi,,1.5,BlueHDi,Nafta,,"4,9",530,69,0.3,odhad,2026-06-28,2026-07-11
Renault Arkana 1.3 TCe MHEV,Renault,Arkana,,,SUV,,1.3,TCe,Benzín,MHEV,"5,8",513,69,0.33,odhad,2026-06-28,2026-07-11
Renault Arkana E-Tech Hybrid,Renault,Arkana E-Tech,,,SUV,,1.6,e-TEC,Benzín,HEV,"4,8",480,68,0.33,odhad,2026-05-24,2026-07-11
Renault Captur 1.0 TCe,Renault,Captur,,,SUV,,1.0,TCe,Benzín,,"5,8",422-536,68,0.33,odhad,2026-05-24,2026-07-11
Renault Captur E-Tech Plug-In Hybrid,Renault,Captur E-Tech,,,SUV,,1.6,e-TEC,Benzín,PHEV,"1,4",265-379,67,0.33,odhad,2026-05-24,2026-07-11
Renault Kadjar 1.3 TCe,Renault,Kadjar,,,SUV,,1.3,TCe,Benzín,,"6,2",472,69,0.33,odhad,2026-05-24,2026-07-11
Renault Koleos 2.0 dCi 4WD,Renault,Koleos,,,SUV,,2.0,dCi,Nafta,,"6,8",579,70,0.33,odhad,2026-05-24,2026-07-11
Renault Mégane Hatchback 1.3 TCe,Renault,Mégane,,,Hatchback,,1.3,TCe,Benzín,,"5,6",384,68,0.3,odhad,2026-05-24,2026-07-11
Renault Talisman Sedan 2.0 BlueHDi,Renault,Talisman,,,Sedan,,2.0,BlueHDi,Nafta,,"5,2",608,68,0.27,odhad,2026-05-24,2026-07-11
Renault Talisman Grandtour 2.0 dCi,Renault,Talisman,,,Kombi,,2.0,dCi,Nafta,,"5,5",572,69,0.3,odhad,2026-05-24,2026-07-11
Seat Arona 1.0 TSI,Seat,Arona,,,SUV,,1.0,TSI,Benzín,,"5,2",400,69,0.37,reálné,2026-05-24,2026-07-11
Seat Arona 1.0 TGI,Seat,Arona,,,SUV,,1.0,,CNG + benzín,,"5,2 (3,5 kg)",282,69,0.37,reálné,2026-06-28,2026-07-11
Seat Ateca 1.5 TSI,Seat,Ateca,,,SUV,,1.5,TSI,Benzín,,"6,4",510,69,0.33,reálné,2026-05-24,2026-07-11
Seat Leon Hatchback 1.5 TSI,Seat,Leon,,,Hatchback,,1.5,TSI,Benzín,,"5,5",380,68,0.29,reálné,2026-05-24,2026-07-11
Seat Leon Sportstourer 1.5 TSI,Seat,Leon,,,Kombi,,1.5,TSI,Benzín,,"5,7",620,69,0.3,odhad,2026-06-28,2026-07-11
Seat Tarraco 1.5 TSI,Seat,Tarraco,,,SUV,5,1.5,TSI,Benzín,,"6,9",760,69,0.33,reálné,2026-06-28,2026-07-11
Seat Tarraco 1.4 e-Hybrid,Seat,Tarraco,,,SUV,,1.4,,Benzín,PHEV,"1,5",610,68,0.33,reálné,2026-06-28,2026-07-11
Škoda Fabia Hatchback 1.0 TSI,Škoda,Fabia,,Gen 4,Hatchback,,1.0,TSI,Benzín,,"5,0",380,68,0.28,reálné,2026-06-28,2026-07-11
Škoda Fabia Combi 1.0 TSI,Škoda,Fabia,,Gen 3,Kombi,,1.0,TSI,Benzín,,"5,2",530,69,0.3,reálné,2026-06-28,2026-07-11
Škoda Kamiq 1.0 TSI,Škoda,Kamiq,,,SUV,,1.0,TSI,Benzín,,"5,3",400,69,0.3,reálné,2026-05-24,2026-07-11
Škoda Karoq 1.5 TSI,Škoda,Karoq,,,SUV,,1.5,TSI,Benzín,,"6,2",521,69,0.3,reálné,2026-05-24,2026-07-11
Škoda Kodiaq 1.5 TSI,Škoda,Kodiaq,,Gen 2,SUV,5,1.5,TSI,Benzín,,"6,0",910,70,0.282,reálné,2026-06-28,2026-07-11
Škoda Kodiaq iV,Škoda,Kodiaq iV,,Gen 2,SUV,,1.5,,Benzín,PHEV,"1,4",745,68,0.295,reálné,2026-06-28,2026-07-11
Škoda Octavia Liftback 1.5 TSI,Škoda,Octavia,,,Hatchback,,1.5,TSI,Benzín,,"5,4",600,68,0.24,reálné,2026-05-24,2026-07-11
Škoda Octavia Combi 1.5 TSI,Škoda,Octavia,,,Kombi,,1.5,TSI,Benzín,,"5,6",640,69,0.26,reálné,2026-05-24,2026-07-11
Škoda Octavia Combi iV,Škoda,Octavia,,,Kombi,,1.4,,Benzín,PHEV,"1,2",490,67,0.287,reálné,2026-06-28,2026-07-11
Škoda Octavia Combi Selection 1.5 TSI,Škoda,Octavia,Selection,Gen 4,Kombi,,1.5,TSI,Benzín,,"5,6",640,69,0.26,reálné,2026-06-28,2026-07-11
Škoda Octavia Combi Style 1.5 TSI,Škoda,Octavia,Style,Gen 4,Kombi,,1.5,TSI,Benzín,,"5,6",640,69,0.26,reálné,2026-06-28,2026-07-11
Škoda Octavia Style 1.5 TSI,Škoda,Octavia,Style,Gen 4,Liftback,,1.5,TSI,Benzín,,"5,4",600,68,0.24,reálné,2026-06-28,2026-07-11
Škoda Scala 1.0 TSI,Škoda,Scala,,,Hatchback,,1.0,TSI,Benzín,,"5,2",467,68,0.29,reálné,2026-05-24,2026-07-11
