Model auta,Karoserie,Objem kufru (l),Hlučnost (dB),Kapacita baterie (kWh),Dojezd komb. letní WLTP (km),Dojezd komb. letní EV-database (km),Cd,Cd zdroj,Tepelné čerpadlo možné (ano/ne),Verze,Přidáno,Upraveno
Nissan LEAF,Hatchback,435,,52,385,330,0.28,reálné,ne,,2026-06-28,2026-07-11
Opel Corsa,Hatchback,267,,"50,8",406,335,0.29,reálné,ne,,2026-06-28,2026-07-11
Opel Mokka,SUV,310,,"50,8",338,285,0.32,reálné,ne,,2026-06-28,2026-07-11
Peugeot 2008,SUV,434,,"50,8",406,300,0.29,odhad,ne,,2026-06-28,2026-07-11
Peugeot 208,Hatchback,267,,"50,8",406,335,0.29,reálné,ne,,2026-06-28,2026-07-11
Polestar 2,Liftback,405,,79,620,475,0.278,reálné,ano,,2026-06-28,2026-07-11
Renault Mégane,SUV,440,,60,470,380,0.29,reálné,ne,,2026-06-28,2026-07-11
Renault R4,SUV,420,,52,410,315,0.29,odhad,ne,,2026-06-28,2026-07-11
Renault ZOE,Hatchback,338,,52,395,315,0.29,odhad,ne,,2026-06-28,2026-07-11
Seat Mii,Hatchback,251,,"32,3",260,210,0.308,reálné,ne,,2026-06-28,2026-07-11
Tesla Model 3,Sedan,594,,60,513,445,0.23,reálné,ano,,2026-06-28,2026-07-11
Tesla Model X,SUV,745,,95,580,490,0.24,reálné,ano,,2026-06-28,2026-07-11
VW Crafter,MPV,,,"83,7",165,135,0.33,odhad,ne,,2026-06-28,2026-07-11
VW ID.3,Hatchback,385,,58,426,365,0.267,reálné,ne,,2026-06-28,2026-07-11
VW ID.4,SUV,543,,79,531,460,0.28,reálné,ne,,2026-06-28,2026-07-11
VW ID.5,SUV,549,,79,539,465,0.26,reálné,ne,,2026-06-28,2026-07-11
VW ID.5 GTX,SUV,549,,77,526,430,0.27,reálné,ne,,2026-06-28,2026-07-11
Volvo C40,SUV,413,,79,515,420,0.329,reálné,ano,,2026-06-28,2026-07-11
Volvo EX30,SUV,318,,65,475,365,0.28,reálné,ano,,2026-06-28,2026-07-11
Volvo XC40,SUV,419,,79,530,400,0.329,reálné,ano,,2026-06-28,2026-07-11
Škoda Enyaq,SUV,585,,77,534,445,0.257,reálné,ano,,2026-06-28,2026-07-11
Škoda Enyaq iV 50,SUV,585,,52,361,295,0.257,reálné,ano,,2026-06-28,2026-07-11
Škoda Enyaq iV 60,SUV,585,,58,412,335,0.257,reálné,ano,,2026-06-28,2026-07-11
Škoda Enyaq iV 80x,SUV,585,,77,500,410,0.257,reálné,ano,,2026-06-28,2026-07-11
Cupra Tavascan,SUV,540,,77,568,460,0.26,reálné,ano,,2026-06-28,2026-07-11
VW ID.7,Liftback,532,,77,621,515,0.23,reálné,ano,,2026-06-28,2026-07-11
VW ID.7 Tourer,Kombi,605,,77,601,500,0.24,reálné,ano,,2026-06-28,2026-07-11
Renault R5,Hatchback,277,,52,410,315,0.32,reálné,ano,,2026-06-28,2026-07-11
MG MGS5 EV,SUV,479,,"61,1",400,320,0.27,reálné,ne,,2026-06-28,2026-07-11
Mercedes-Benz EQB,SUV,495,,"66,5",420,330,0.28,reálné,ne,,2026-06-28,2026-07-11
Opel Combo,MPV,597,,50,280,225,0.33,odhad,ne,,2026-06-28,2026-07-11
Mini Cooper,Hatchback,211,,"54,2",402,305,0.28,reálné,ne,,2026-06-28,2026-07-11
Dacia Spring,SUV,308,,25,230,190,0.29,odhad,ne,,2026-06-28,2026-07-11
Fiat 500 e,Hatchback,185,,"37,3",315,270,0.32,reálné,ne,,2026-06-28,2026-07-11
Kia EV4,Sedan,435,,55,405,360,0.23,reálné,ano,,2026-06-28,2026-07-11
MG ZS EV,SUV,448,,"68,3",440,420,0.29,odhad,ne,,2026-06-28,2026-07-11
Nissan Micra,Hatchback,326,,52,415,330,0.29,odhad,ano,,2026-06-28,2026-07-11
Omoda E5,SUV,380,,"58,9",415,330,0.281,reálné,ano,,2026-06-28,2026-07-11
Tesla Model Y,SUV,854,,75,600,455,0.23,reálné,ano,,2026-06-28,2026-07-11
Škoda Elroq,SUV,470,,77,552,515,0.26,reálné,ano,,2026-06-28,2026-07-11
Dongfeng Forthing T5 EVO,SUV,480,,85.9,510,,0.29,odhad,,,2026-06-28,2026-07-11
BMW iX1,SUV,490,,64.7,475,390,0.26,reálné,,,2026-06-28,2026-07-11
BMW iX2,SUV,525,,64.7,478,395,0.25,reálné,,,2026-06-28,2026-07-11
Ford Puma Gen-E,SUV,523,,43.6,376,280,0.29,reálné,,,2026-06-28,2026-07-11
KGM Torres EVX,SUV,703,,72,462,370,0.29,odhad,,,2026-06-28,2026-07-11
Volvo EX40,SUV,452,,79,576,400,0.33,reálné,,,2026-06-28,2026-07-11
Renault Twingo,Hatchback,360,,"27,5",263,,,,ne,,2026-07-04,2026-07-11
GWM Ora 03,Hatchback,228,,"45,4",310,257,0.33,odhad,ano,,2026-07-04,2026-07-11
BYD DOLPHIN,Hatchback,345,,60,427,400,0.301,reálné,ano,,2026-07-04,2026-07-11
Opel Frontera,SUV,460,,44,305,310,,,ne,,2026-07-04,2026-07-11
Renault Megane,SUV,440,,60,450,440,0.29,reálné,ano,,2026-07-04,2026-07-11
Fiat Grande Panda,SUV,361,,"43,8",320,,,,ano,,2026-07-04,2026-07-11
Citroën ë-C3,Hatchback,310,,"43,8",327,,,,ne,,2026-07-04,2026-07-11
VW e-up!,Hatchback,250,,"32,3",260,,0.31,reálné,ne,,2026-07-04,2026-07-11
Citroën C4,Hatchback,380,,"46,3",354,330,0.3,odhad,ano,,2026-07-04,2026-07-11
Leapmotor T03,Hatchback,210,,36,265,,0.33,odhad,ne,,2026-07-04,2026-07-11
Renault R 5,Hatchback,326,,52,402,,0.32,odhad,ano,,2026-07-04,2026-07-11
Aiways U5,SUV,432,,60,410,,0.29,reálné,,,2026-07-09,2026-07-11
Alfa Romeo Junior,SUV,400,,"50,8",410,365,0.33,odhad,ano,,2026-07-09,2026-07-11
Audi Q4,SUV,520,71,77,520,465,0.28,reálné,ano,,2026-07-09,2026-07-11
BMW i4,Kupé,470,,"83,9",590,525,0.24,reálné,ano,,2026-07-09,2026-07-11
Citroën C3,Sedan,310,,44,326,255,0.30,odhad,ne,,2026-07-09,2026-07-11
Citroën C3 Aircross,SUV,460,,44,306,285,0.33,odhad,ne,,2026-07-09,2026-07-11
Citroën Jumpy,MPV,507,,68,330,285,0.35,odhad,ano,,2026-07-09,2026-07-11
Citroën SpaceTourer,MPV,603,,75,350,265,0.35,odhad,ne,,2026-07-09,2026-07-11
Citroën ë-Berlingo,MPV,775,,"46,3",280,235,0.35,odhad,ano,,2026-07-09,2026-07-11
Citroën ë-Spacetourer,MPV,507,,68,330,281,0.35,odhad,ano,,2026-07-09,2026-07-29
Cupra Raval,Sedan,441,,"51,5",446,,0.30,odhad,ano,,2026-07-09,2026-07-11
DFSK Forthing 5,SUV,370,,"85,9",371,,0.33,odhad,,,2026-07-09,2026-07-11
DFSK Seres 3,SUV,318,,"52,5",329,300,0.33,odhad,,,2026-07-09,2026-07-11
DS Automobiles DS3,SUV,350,,"50,8",402,,0.33,odhad,ano,,2026-07-09,2026-07-11
DS Automobiles DS3 Crossback,SUV,350,68,50,,305,,,ano,,2026-07-09,2026-07-11
Fiat 500,Hatchback,185,,42,320,270,0.311,reálné,ne,,2026-07-09,2026-07-11
Fiat 500e,Hatchback,185,"70,4",42,320,270,0.311,reálné,ne,,2026-07-09,2026-07-11
Fiat 600,SUV,360,66,54,409,360,0.28,reálné,ano,,2026-07-09,2026-07-11
Fiat Doblo,MPV,597,,45,280,,0.35,odhad,,,2026-07-09,2026-07-11
Fiat Scudo,,,,68,330,,0.35,odhad,,,2026-07-09,2026-07-11
Fiat Ulysse,MPV,450,,68,330,295,0.35,odhad,ano,,2026-07-09,2026-07-29
Fisker Ocean,SUV,476,,"106,5",707,507,0.33,odhad,ano,,2026-07-09,2026-07-11
Ford Capri,SUV,572,,77,627,455,0.26,reálné,ano,,2026-07-09,2026-07-29
Ford Explorer,SUV,450,,77,602,450,0.33,odhad,ano,,2026-07-09,2026-07-11
Ford Mustang Mach-E,SUV,519,,88,610,530,0.29,reálné,ne,,2026-07-09,2026-07-11
Ford Puma,SUV,523,,43,376,320,0.29,reálné,ne,,2026-07-09,2026-07-11
Ford Tourneo Courier,MPV,570,,43,288,,0.35,odhad,ano,,2026-07-09,2026-07-11
GWM Ora 07,Sedan,333,,"64,3",440,400,0.22,reálné,ano,,2026-07-09,2026-07-11
Genesis GV60,SUV,432,,74,470,426,0.29,reálné,ano,,2026-07-09,2026-07-11
Hyundai IONIQ,SUV,357,,"38,3",311,290,0.24,reálné,ano,,2026-07-09,2026-07-11
Hyundai Ioniq 6,Sedan,401,,84,680,545,0.21,reálné,ano,,2026-07-09,2026-07-11
Jaguar I-Pace,SUV,656,,"84,7",470,380,0.29,reálné,ano,,2026-07-09,2026-07-11
KGM Korando,SUV,551,,"55,3",339,290,0.33,odhad,ano,,2026-07-09,2026-07-11
Kia PV5,MPV,,,67,412,329,0.35,odhad,ano,,2026-07-09,2026-07-29
Leapmotor B05,Hatchback,345,,"56,2",401,320,0.26,reálné,ano,,2026-07-09,2026-07-11
Leapmotor C10,SUV,435,76,"69,9",420,355,0.28,reálné,ano,,2026-07-09,2026-07-11
Lexus UX,SUV,367,,"54,3",305,235,0.33,reálné,ano,,2026-07-09,2026-07-11
Lynk&Co 02,SUV,410,,66,445,,0.25,reálné,ano,,2026-07-09,2026-07-11
MAN TGE,MPV,,,"35,8",115,,0.35,odhad,,,2026-07-09,2026-07-11
MG MG5,Kombi,479,,"61,1",400,385,0.30,odhad,ano,,2026-07-09,2026-07-11
MG S5,SUV,453,,64,480,418,0.27,reálné,ne,,2026-07-09,2026-07-11
MG ZS,SUV,448,,"72,6",440,420,0.28,reálné,ne,,2026-07-09,2026-07-11
MINI Aceman,Sedan,300,,"49,2",406,345,0.30,odhad,ano,,2026-07-09,2026-07-11
MINI Aceman E,Sedan,300,,"42,5",309,230,0.30,odhad,ano,,2026-07-09,2026-07-11
Maxus Euniq 5,MPV,,,"52,5",260,,0.35,odhad,,,2026-07-09,2026-07-11
Maxus Euniq 6,SUV,754,,70,354,,0.33,odhad,,,2026-07-09,2026-07-11
Maxus T90,SUV,,,"88,5",330,,0.40,odhad,,,2026-07-09,2026-07-11
Maxus eDeliver 9,,,,"88,55",358,,0.35,odhad,,,2026-07-09,2026-07-11
Mazda E series,Sedan,337,,"68,8",479,420,0.27,odhad,ano,,2026-07-09,2026-07-11
Mercedes-Benz Citan,MPV,517,,44,285,,0.35,odhad,ano,,2026-07-09,2026-07-11
Mercedes-Benz EQC,SUV,500,,80,432,364,0.28,reálné,ano,,2026-07-09,2026-07-11
Mercedes-Benz EQT,MPV,551,,45,282,225,0.35,odhad,ano,,2026-07-09,2026-07-11
Mercedes-Benz Vito,MPV,,,90,350,,0.35,odhad,ano,,2026-07-09,2026-07-11
Mercedes-Benz eCitan,MPV,517,,45,284,,0.35,odhad,ano,,2026-07-09,2026-07-11
Mercedes-Benz eSprinter,,,,113,438,331,0.35,odhad,ano,,2026-07-09,2026-07-11
Mercedes-Benz eVito,Kombi,,,60,256,,0.35,odhad,ano,,2026-07-09,2026-07-11
NIO ET5,Sedan,386,,75,445,410,0.24,reálné,ano,,2026-07-09,2026-07-11
NIO ET7,Sedan,365,,100,580,505,0.208,reálné,,,2026-07-09,2026-07-11
Nissan Ariya,SUV,468,,87,533,,0.297,reálné,ano,,2026-07-09,2026-07-11
Nissan NV200,MPV,443,,36,200,,0.35,odhad,ne,,2026-07-09,2026-07-11
Nissan Townstar,MPV,775,,45,285,242,0.35,odhad,ano,,2026-07-09,2026-07-11
OMODA 5 EV,SUV,380,,"60,7",430,395,0.281,reálné,ano,,2026-07-09,2026-07-29
Opel Astra,Sedan,352,,54,413,315,0.26,reálné,ano,,2026-07-09,2026-07-11
Opel Astra Electric,Kombi,352,,58,454,345,0.26,reálné,ano,,2026-07-09,2026-07-11
Opel Grandland (X),SUV,550,,73,523,470,0.28,reálné,ano,,2026-07-09,2026-07-11
Opel Vivaro,MPV,507,,68,330,265,0.35,odhad,,,2026-07-09,2026-07-11
Opel Zafira Electric,MPV,603,,50,223,205,0.35,odhad,ano,,2026-07-09,2026-07-11
Opel Zafira Life,MPV,603,,,,265,0.35,odhad,,,2026-07-09,2026-07-11
Opel Zafira Tourer,MPV,603,,"46,3",230,,0.35,odhad,ano,,2026-07-09,2026-07-11
Peugeot 308,Sedan,361,,54,,345,0.28,reálné,ano,,2026-07-09,2026-07-11
Peugeot Rifter,MPV,775,68,50,,235,,,ano,,2026-07-09,2026-07-11
Peugeot Traveller,MPV,603,,69,351,290,0.35,odhad,,,2026-07-09,2026-07-11
Peugeot e-2008,SUV,434,,"46,3",320,290,0.33,odhad,ano,,2026-07-09,2026-07-11
Peugeot e-208,Hatchback,311,,"46,3",362,280,0.30,odhad,ano,,2026-07-09,2026-07-11
Peugeot e-308,Sedan,361,,51,410,345,0.29,reálné,ano,,2026-07-09,2026-07-11
Peugeot e-Rifter,MPV,775,68,50,282,230,0.35,odhad,ano,,2026-07-09,2026-07-11
Renault Kangoo,MPV,850,,45,285,225,0.35,odhad,ano,,2026-07-09,2026-07-11
Renault R 4,SUV,420,,52,409,,0.33,odhad,ano,,2026-07-09,2026-07-11
Renault Scenic E-TECH,SUV,545,64,87,620,480,0.29,reálné,ano,,2026-07-09,2026-07-11
Seres 3,SUV,318,,52,300,,0.33,odhad,ano,,2026-07-09,2026-07-11
Seres 5,SUV,367,,76,483,,0.278,reálné,ano,,2026-07-09,2026-07-11
Smart #1,SUV,313,,62,440,380,0.29,reálné,ano,,2026-07-09,2026-07-11
Smart #3,SUV,370,66,,455,405,0.27,reálné,ano,,2026-07-09,2026-07-11
Smart ForFour,Sedan,185,,"17,6",130,,0.35,odhad,ne,,2026-07-09,2026-07-11
Ssangyong Korando,SUV,551,,"55,3",339,290,0.33,odhad,ano,,2026-07-09,2026-07-11
Subaru Solterra,SUV,452,,"71,4",465,320,0.26,reálné,ano,,2026-07-09,2026-07-11
Suzuki Vitara,SUV,306,,61,425,330,0.33,odhad,ano,,2026-07-09,2026-07-11
Suzuki e Vitara,SUV,306,,61,425,,0.33,odhad,ano,,2026-07-09,2026-07-11
Toyota Proace (Verso),MPV,603,,68,330,285,0.35,odhad,ano,,2026-07-09,2026-07-11
Toyota Proace City,MPV,775,,"46,3",280,210,0.35,odhad,ano,,2026-07-09,2026-07-11
Toyota Proace Verso Electric,MPV,550,,75,330,265,0.35,odhad,ano,,2026-07-09,2026-07-11
Toyota Urban Cruiser,SUV,310,,"61,1",426,336,0.33,odhad,ano,,2026-07-09,2026-07-29
Toyota bZ4X,SUV,452,,"73,1",569,385,0.27,reálné,ano,,2026-07-09,2026-07-11
VW ID. Polo,Sedan,441,,"51,7",454,400,0.264,reálné,,,2026-07-09,2026-07-11
VW T6 Caravelle,MPV,,,"32,5",138,,0.35,odhad,,,2026-07-09,2026-07-11
VW up!,Hatchback,251,,"32,3",258,205,0.31,reálné,ne,,2026-07-09,2026-07-11
VinFast VF6,Sedan,423,,"59,6",410,360,0.33,odhad,ne,,2026-07-09,2026-07-11
Volvo EC40,SUV,413,,82,581,475,0.329,reálné,ano,,2026-07-09,2026-07-11
Škoda Citigo,Hatchback,250,,"36,8",265,205,0.325,reálné,ne,,2026-07-09,2026-07-11
Škoda Epiq,SUV,475,,,,235,0.275,reálné,ano,,2026-07-09,2026-07-11
JAC E30X,SUV,310,,50,374,,0.33,odhad,,,2026-07-22,2026-07-22
Elaris Beo,SUV,467,,72,400,,0.33,odhad,,,2026-07-22,2026-07-22
Dongfeng Box,Hatchback,330,,29,230,225,0.3,odhad,ne,,2026-07-22,2026-07-22
Dongfeng Nammi,Hatchback,326,,29,230,196,0.3,odhad,ne,,2026-07-22,2026-07-22
Dayun ES3,SUV,,,"31,7",,,0.33,odhad,,,2026-07-22,2026-07-22
Fiat Panda,Hatchback,361,,"43,8",320,255,0.3,odhad,ne,,2026-07-22,2026-07-22
Leapmotor B03X,SUV,,,39,292,225,0.33,odhad,ano,,2026-07-22,2026-07-22
NIO Firefly,Hatchback,404,,"41,2",330,240,0.278,reálné,ne,,2026-07-22,2026-07-22
