Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Skóre shody,Extra,Stav,Země,Zdroj,Odkaz na auto
Elektrické,Alfa Romeo Junior,665000,2736,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Haar / Baterie 54 kWh / Elettrica 115 kW UVP 42.000€! ACC,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-115-kw-uvp-42-000-acc-haar/456355794.html
Elektrické,Alfa Romeo Junior,626650,13350,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,"Buxtehude / Baterie 54 kWh / Elettrica 115 kW Wärmepumpe, 18-Zoll, 10",,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-115-kw-w%C3%A4rmepumpe-18-zoll-10-buxtehude/455844787.html
Elektrické,Alfa Romeo Junior,602456,12814,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,"Buxtehude / Baterie 54 kWh / Elettrica 115 kW Wärmepumpe, 18-Zoll, 10",,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-115-kw-w%C3%A4rmepumpe-18-zoll-10-buxtehude/456943387.html
Elektrické,Alfa Romeo Junior,626650,16620,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,"Buxtehude / Baterie 54 kWh / Elettrica 115 kW Wärmepumpe, 18-Zoll, 10",,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-115-kw-w%C3%A4rmepumpe-18-zoll-10-buxtehude/456948242.html
Elektrické,Alfa Romeo Junior,603641,8794,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Baterie 54 kWh / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/456449072.html
Elektrické,Alfa Romeo Junior,597883,6184,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Baterie 54 kWh / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/458464109.html
Elektrické,Alfa Romeo Junior,599310,11765,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Baterie 54 kWh / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/459110344.html
Elektrické,Alfa Romeo Junior,599310,10881,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Baterie 54 kWh / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/459110345.html
Elektrické,Alfa Romeo Junior,599310,7976,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/459110350.html
Elektrické,Alfa Romeo Junior,599310,7824,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Baterie 54 kWh / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/459110353.html
Elektrické,Alfa Romeo Junior,604851,10688,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Baterie 54 kWh / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/459659812.html
Elektrické,Alfa Romeo Junior,604851,14367,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Baterie 54 kWh / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/459659825.html
Elektrické,Alfa Romeo Junior,604851,9723,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Baterie 54 kWh / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/459659831.html
Elektrické,Alfa Romeo Junior,604851,11198,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Ergolding / Baterie 54 kWh / Elettrica 54 kWh ACC/LED/PDC/Carplay,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-54-kwh-acc-led-pdc-carplay-ergolding/459659844.html
Elektrické,Alfa Romeo Junior,652781,22500,2024,Elektro,,,,115,,,,,Ne,SUV,,,,,,Frankfurt / Elettrica Speciale 156 Auto. *Navi*SHZ*Ka,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-speciale-156-auto-navi-shz-ka-frankfurt/456704129.html
Elektrické,Alfa Romeo Junior,725366,6500,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Frankfurt / Elettrica Speciale 156 Auto. *Navi*SHZ*Ka,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-speciale-156-auto-navi-shz-ka-frankfurt/456704150.html
Elektrické,Alfa Romeo Junior,725366,6500,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Maintal / Elettrica Speciale 156 Automatik *Navi*SH,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-speciale-156-automatik-navi-sh-maintal/456704230.html
Elektrické,Alfa Romeo Junior,725608,27550,2024,Elektro,,,,115,,,,,Ne,SUV,,,,,,Furth im Wald / Baterie 54 kWh / Elettrica Speciale **Sabelt**,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-speciale-sabelt-furth-im-wald/454575175.html
Spalovací,Alfa Romeo Junior 1.2 Turbo,594955,33500,2025,Benzín,1.2,,,100,Automatická,,,,Ne,Sedan/limuzína,,,,Ano,1,Marchtrenk / JUNIOR SPECIALE*SPORTPAKET*VOLL*NETTO € 20492.-*,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-speciale-sportpaket-voll-netto-20492-marchtrenk/458219192.html
Elektrické,Andere Andere,725608,25600,2023,Elektro,,,,170,,,,,Ne,Sedan/limuzína,,,,,,Klagenfurt,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-born-77kwh-e-boost-klagenfurt/454873929.html
Elektrické,Andere Andere,531080,50,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Kerpen-Sindorf / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-box-e2-comfort-42-3kwh-keyless-rfk-assistenz-kerpen-sindorf/454861901.html
Elektrické,Andere Andere,405145,4500,2023,Elektro,,,,35,,,,,Ne,Sedan/limuzína,,,,,,Halberstadt / Baterie 34 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dayun-es3-100-elektro-leder-kamera-allwetter-halberstadt/438467058.html
Elektrické,Andere Andere,453535,1250,2025,Elektro,,,,35,,,,,Ne,Sedan/limuzína,,,,,,Halberstadt / Baterie 34 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dayun-es3-100-elektro-leder-kamera-sitzheizung-halberstadt/457131980.html
Elektrické,Andere Andere,453535,1050,2025,Elektro,,,,35,,,,,Ne,Sedan/limuzína,,,,,,Halberstadt / Baterie 34 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dayun-es3-100-elektro-leder-kamera-sitzheizung-halberstadt/457131981.html
Elektrické,Andere Andere,507853,12,,Elektro,,,,70,,,,,Ne,Sedan/limuzína,,,,,,Hettstedt OT Walbeck / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-box-elektro-42-3-kwh-e2-comfort-kamera-hettstedt-ot-walbeck/451458001.html
Elektrické,Andere Andere,556243,15,,Elektro,,,,70,,,,,Ne,Sedan/limuzína,,,,,,Hettstedt OT Walbeck / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-box-elektro-42-3-kwh-e3-premium-360-hettstedt-ot-walbeck/454746158.html
Elektrické,Andere Andere,374998,15500,2024,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Bad Waldsee,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-box-nammi-70-kw-bad-waldsee/453172555.html
Elektrické,Andere Andere,556243,10,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Altenberge / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-box-nammi-e3-360-kamera-winterpaket-altenberge/450586756.html
Elektrické,Andere Andere,556243,10,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Bietigheim-Bissingen / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-box-nammi-e3-360-kamera-winterpaket-bietigheim-bissingen/450586760.html
Elektrické,Andere Andere,556243,10,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Bietigheim-Bissingen / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-box-nammi-e3-360-kamera-winterpaket-bietigheim-bissingen/454022333.html
Elektrické,Andere Andere,554791,,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Pirmasens / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-nammi-box-42-3kwh-e2-elektro-pirmasens/452961073.html
Elektrické,Andere Andere,554791,,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Pirmasens / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-nammi-box-42-3kwh-e2-elektro-pirmasens/452962196.html
Elektrické,Andere Andere,504466,10,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Düren / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-nammi-box-e2-42-3-kwh-5jahre-gar-sofort-d%C3%BCren/453395424.html
Elektrické,Andere Andere,481239,10,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Düren / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-nammi-box-e2-42-3-kwh-5jahre-gar-sofort-d%C3%BCren/453395503.html
Elektrické,Andere Andere,504466,10,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Düren / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-nammi-box-e2-42-3-kwh-5jahre-gar-sofort-d%C3%BCren/453395581.html
Elektrické,Andere Andere,552856,10,,Elektro,,,,70,,,,,Ne,Hatchback,,,,,,Düren / Baterie 42 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-dongfeng-nammi-box-e3-42-3-kwh-5jahre-gar-aktion-d%C3%BCren/453395145.html
Elektrické,Andere Andere,483658,21000,2021,Elektro,,,,150,,,,,Ne,SUV,,,,,,Straubing / Baterie 72 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-elaris-beo-vollelektrisch-sofort-verf%C3%BCgbar-straubing/452824954.html
Elektrické,Andere Andere,457044,45500,2021,Elektro,,,,120,,,,,Ne,SUV,,,,,,Viersen,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-seres-3-luxury-voll-elektro-leder-navi-bt-pano-viersen/459380349.html
Elektrické,Andere Andere,333891,5,,Elektro,,,,15,,,,,Ne,Hatchback,,,,,,Sommerach / Baterie 16 kWh,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/andere-wuling-elektro-spring-sommerach/450574345.html
Spalovací,Audi A3 Hatchback 35 TFSI,481239,73000,2022,Nafta,2.0,TDI,,110,Automatická,,,,Ne,Hatchback,,Ano,,Nejisté,0,Klatovy / 35 S tronic Matrix Led Sportback -,,Česko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a3-35-tdi-s-tronic-matrix-led-sportback-klatovy/453372326.html
Spalovací,Audi A4 Avant 35 TFSI,736593,39800,2023,Nafta,2.0,TDI,,100,Automatická,Ano,,,Ne,Kombi,S-Line,,,Ano,3,Thannhausen / Weiz / Avant 30 LED EXP:32.440.-,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-30-tdi-s-line-s-tronic-led-exp-32-440-thannhausen-weiz/454049007.html
Spalovací,Audi A4 Avant 35 TFSI,483416,54000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Business Nav LED Priva,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-business-nav-led-priva-judenburg/459176034.html
Spalovací,Audi A4 Avant 35 TFSI,483416,47000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Business Nav LED Priva,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-business-nav-led-priva-judenburg/459176037.html
Spalovací,Audi A4 Avant 35 TFSI,483416,46000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Business Navi PDC Priv,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-business-navi-pdc-priv-judenburg/459176022.html
Spalovací,Audi A4 Avant 35 TFSI,483416,49000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Business Navi PDC Priv,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-business-navi-pdc-priv-judenburg/459176029.html
Spalovací,Audi A4 Avant 35 TFSI,483416,47000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Business Navi PDC Priv,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-business-navi-pdc-priv-judenburg/459176587.html
Spalovací,Audi A4 Avant 35 TFSI,483416,46000,2022,Benzín,2.0,TFSI,,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,8,Judenburg / Avant 35,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-judenburg/459175204.html
Spalovací,Audi A4 Avant 35 TFSI,483416,51000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 MMI Navi LED Privacy B,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-mmi-navi-led-privacy-b-judenburg/459673085.html
Spalovací,Audi A4 Avant 35 TFSI,483416,55000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Navi PDC Business Priv,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-navi-pdc-business-priv-judenburg/459176019.html
Spalovací,Audi A4 Avant 35 TFSI,483416,52000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Navi PDC Privacy,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-navi-pdc-privacy-judenburg/458460678.html
Spalovací,Audi A4 Avant 35 TFSI,483416,50000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Navi PDC Privacy,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-navi-pdc-privacy-judenburg/458460679.html
Spalovací,Audi A4 Avant 35 TFSI,483416,50000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Navi PDC Privacy,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-navi-pdc-privacy-judenburg/458461699.html
Spalovací,Audi A4 Avant 35 TFSI,483416,49000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Navi PDC Privacy,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-navi-pdc-privacy-judenburg/458461703.html
Spalovací,Audi A4 Avant 35 TFSI,483416,51000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Navi PDC Privacy,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-navi-pdc-privacy-judenburg/459176013.html
Spalovací,Audi A4 Avant 35 TFSI,483416,47000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Navi PDC Privacy,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-navi-pdc-privacy-judenburg/459176015.html
Spalovací,Audi A4 Avant 35 TFSI,483416,46000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Navi PDC Privacy,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-navi-pdc-privacy-judenburg/459177688.html
Spalovací,Audi A4 Avant 35 TFSI,483416,47000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Navi SHZ Privacy CC,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-navi-shz-privacy-cc-judenburg/459177686.html
Spalovací,Audi A4 Avant 35 TFSI,483416,47000,2022,Benzín,2.0,TFSI,,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,8,Judenburg / Avant 35 PDC SHZ Navi,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-pdc-shz-navi-judenburg/459177678.html
Spalovací,Audi A4 Avant 35 TFSI,483416,47000,2022,Benzín,2.0,TFSI,,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,8,Judenburg / Avant 35 PDC SHZ Navi,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-pdc-shz-navi-judenburg/459177680.html
Spalovací,Audi A4 Avant 35 TFSI,483416,53000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Sports Nav LED Privacy,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-nav-led-privacy-judenburg/459176592.html
Spalovací,Audi A4 Avant 35 TFSI,483416,53000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Sports Nav LED Privacy,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-nav-led-privacy-judenburg/459176596.html
Spalovací,Audi A4 Avant 35 TFSI,483416,53000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Sports. Navi LED Priva,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-navi-led-priva-judenburg/459176598.html
Spalovací,Audi A4 Avant 35 TFSI,483416,51800,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,,,Ano,7,Judenburg / Avant 35 Sports. Navi Privacy L,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-navi-privacy-l-judenburg/459204079.html
Spalovací,Audi A4 Avant 35 TFSI,483416,46900,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,,,Ano,7,Judenburg / Avant 35 Sports. Navi Privacy L,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-navi-privacy-l-judenburg/459204081.html
Spalovací,Audi A4 Avant 35 TFSI,483416,49900,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,,,Ano,7,Judenburg / Avant 35 Sports. Navi Privacy L,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-navi-privacy-l-judenburg/459204085.html
Spalovací,Audi A4 Avant 35 TFSI,483416,48300,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,,,Ano,7,Judenburg / Avant 35 Sports. Navi Privacy L,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-navi-privacy-l-judenburg/459204087.html
Spalovací,Audi A4 Avant 35 TFSI,483416,49700,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,,,Ano,7,Judenburg / Avant 35 Sports. Navi Privacy L,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-navi-privacy-l-judenburg/459204088.html
Spalovací,Audi A4 Avant 35 TFSI,483416,50300,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,,,Ano,7,Judenburg / Avant 35 Sports. Navi Privacy L,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-navi-privacy-l-judenburg/459204090.html
Spalovací,Audi A4 Avant 35 TFSI,483416,49000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Sports. Navi Privacy L,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-navi-privacy-l-judenburg/459208718.html
Spalovací,Audi A4 Avant 35 TFSI,483416,44000,2022,Benzín,2.0,TFSI,PHEV,110,Automatická,Ano,,,Ne,Kombi,,Ano,,Ano,7,Judenburg / Avant 35 Sports. Navi Privacy L,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/audi-a4-avant-35-tfsi-s-tronic-sports-navi-privacy-l-judenburg/459210064.html
